Id	pop	system	habitat	ind	sex	species	centroid _size	BD	SL	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17
Lz1_15_r_MJ_F3_m_0_Abur	Lz1	Lunzua	r	MJF3	m	Abur	77.03501663	21.16590878	53.15687067	-0.277661232	-8.44E-04	-0.237613502	-0.039200353	-0.224823733	0.031559616	-0.162996199	0.034301605	-0.195587804	0.064125136	-0.192846026	0.00229692	-0.151514674	-0.090838106	-0.008577325	-0.122808821	-0.036396411	-0.066849117	-0.049884333	-0.01554485	-0.088192877	0.063576302	-0.063563761	0.146655173	0.329929737	0.07797742	0.41033669	0.060923492	0.412436002	-0.026285673	0.322726243	-0.038526973	0.214229206	-0.080517465
Lz1_15_r_MJ_F4_m_0_Abur	Lz1	Lunzua	r	MJF4	m	Abur	82.03730983	23.31168002	57.25990931	-0.281817816	-7.31E-04	-0.233702601	-0.047540623	-0.225654636	0.033367496	-0.16003199	0.035801573	-0.194366492	0.068212051	-0.191830354	-1.66E-04	-0.144289086	-0.090620036	-0.011099031	-0.123767271	-0.032947782	-0.070470638	-0.04871728	-0.017497238	-0.084382028	0.065665249	-0.061775704	0.155949537	0.327136236	0.07650604	0.413019793	0.068650308	0.414332769	-0.026271486	0.330223254	-0.036572802	0.185902747	-0.090515669
Lz1_15_r_MJ_F5_f_0_Abur	Lz1	Lunzua	r	MJF5	f	Abur	76.34628464	20.23001609	53.19628844	-0.274946353	-2.40E-05	-0.227159895	-0.046289386	-0.228497006	0.031777718	-0.157622225	0.035162406	-0.194780179	0.069497191	-0.191339326	-0.002557537	-0.136807756	-0.090537165	-0.020271191	-0.113379657	-0.043551654	-0.071861856	-0.056614151	-0.021575975	-0.091620128	0.066729114	-0.060617997	0.14872123	0.322294245	0.07643119	0.41929208	0.065682628	0.427761899	-0.025077279	0.326579696	-0.038201026	0.187899942	-0.084497629
Lz1_15_r_MJ_F6_f_0_Abur	Lz1	Lunzua	r	MJF6	f	Abur	68.39301767	18.55792145	47.56699736	-0.280298235	0.009544478	-0.246898947	-0.040201437	-0.2297778	0.029730282	-0.159761052	0.033822147	-0.195610497	0.06884276	-0.191947432	-0.005174646	-0.129775318	-0.093670913	-0.018192836	-0.120286546	-0.027811033	-0.069152347	-0.04372424	-0.023685638	-0.084835622	0.067363387	-0.061686475	0.14758938	0.324845948	0.077388068	0.412964141	0.066633115	0.417476205	-0.021917861	0.328375487	-0.039717467	0.186657707	-0.08710676
Lz1_15_r_MJ_F7_f_0_Abur	Lz1	Lunzua	r	MJF7	f	Abur	78.62673412	21.20358895	55.48006741	-0.290097995	-0.004000777	-0.235431692	-0.058773807	-0.234765792	0.032816893	-0.16456525	0.035547166	-0.200177483	0.069596123	-0.197394478	-0.002329013	-0.119629069	-0.096728162	-0.016028285	-0.111415438	-0.034268075	-0.061283745	-0.043784011	-0.014330763	-0.067820436	0.073648585	-0.062204712	0.15447754	0.325123537	0.073040252	0.413072931	0.060771203	0.417012179	-0.030131634	0.326281107	-0.039836054	0.184677524	-0.081068367
Lz1_15_r_MJ_F8_f_0_Abur	Lz1	Lunzua	r	MJF8	f	Abur	67.73055881	18.38868817	47.29171737	-0.276354328	0.001536538	-0.231460289	-0.043311018	-0.227372733	0.029200954	-0.15980892	0.030927356	-0.196168623	0.064771855	-0.192318231	-0.005372066	-0.138791834	-0.09269155	-0.015247103	-0.114541911	-0.03695564	-0.063964257	-0.049774249	-0.017663176	-0.08807234	0.073681983	-0.06552122	0.152394031	0.321788883	0.073528306	0.419205025	0.066564711	0.424631398	-0.023598793	0.324327502	-0.041539601	0.187892702	-0.089923361
Lz1_15_r_MJ_F9_f_0_Abur	Lz1	Lunzua	r	MJF9	f	Abur	63.07596765	17.45541011	44.20268474	-0.279537971	0.003259801	-0.239532572	-0.041246599	-0.227861336	0.027890004	-0.162294839	0.031048806	-0.19601417	0.063710888	-0.193430214	-0.00473806	-0.124973188	-0.091447148	-0.01302892	-0.116761746	-0.036330956	-0.062891818	-0.049967405	-0.017116279	-0.086020926	0.064008231	-0.066112428	0.154959809	0.324050299	0.077331663	0.419007105	0.063344463	0.425639323	-0.029904931	0.320455321	-0.040691571	0.185952877	-0.080755512
Lz1_15_r_MJ_G1_m_0_Abur	Lz1	Lunzua	r	MJG1	m	Abur	79.30485151	22.02580847	54.76032831	-0.278725571	-0.007107289	-0.224950457	-0.04996468	-0.231763125	0.030837023	-0.167869915	0.032973694	-0.200636521	0.064717731	-0.197882708	-2.90E-04	-0.129529663	-0.090504964	-0.011480207	-0.112913905	-0.029163572	-0.059413884	-0.046560482	-0.012737219	-0.090181331	0.073375504	-0.066978516	0.159458653	0.3324586	0.07358629	0.408920688	0.062556474	0.413352288	-0.028643692	0.332800588	-0.042338459	0.188189902	-0.093591051
Lz1_15_r_MJ_G2_m_0_Abur	Lz1	Lunzua	r	MJG2	m	Abur	73.67336433	20.68705124	51.51057928	-0.280236085	-0.00126245	-0.229326679	-0.045789266	-0.227801308	0.030255055	-0.165935151	0.032017802	-0.197469868	0.062995945	-0.195060587	-7.68E-05	-0.134785449	-0.093368744	-0.012665649	-0.119917242	-0.030155953	-0.065258808	-0.04387255	-0.014163174	-0.086171379	0.072282757	-0.064041578	0.156272523	0.328590285	0.079189724	0.415980943	0.066975354	0.417512757	-0.029820173	0.327740047	-0.041573814	0.177698204	-0.088758731
Lz1_15_r_MJ_G3_f_0_Abur	Lz1	Lunzua	r	MJG3	f	Abur	67.69527501	18.87395704	47.22425186	-0.280803162	0.009250065	-0.235667277	-0.036865967	-0.226252636	0.030800036	-0.1628256	0.033811129	-0.196091839	0.065274381	-0.193614178	-6.87E-04	-0.133632881	-0.090280536	-0.020395777	-0.123758205	-0.037357308	-0.074073781	-0.051111292	-0.026151556	-0.081408713	0.06014865	-0.055329892	0.152961623	0.320341231	0.082772813	0.41461991	0.068079912	0.419224869	-0.021073992	0.326750474	-0.037755725	0.193554072	-0.092451804
